"ENTITY","YEAR","RECORDS LOST","ORGANISATION","METHOD OF LEAK","DATA SENSITIVITY","RECORDS LOST RANGE"
"Citigroup",2013,150000,"financial","accidentally published","SSN/Personal Details","[1025 - 400K)"
"TerraCom & YourTel",2013,170000,"telecoms","accidentally published","SSN/Personal Details","[1025 - 400K)"
"NMBS",2013,1460000,"transport","accidentally published","SSN/Personal Details","[400K - 2,5M)"
"Facebook",2013,6e+06,"web","accidentally published","Email/Online info","[2,5M - 14M)"
"Central Hudson Gas & Electric",2013,110000,"energy","hacked","Credit Card info","[1025 - 400K)"
"Kirkwood Community College",2013,125000,"academic","hacked","SSN/Personal Details","[1025 - 400K)"
"Washington State court system",2013,160000,"government","hacked","SSN/Personal Details","[1025 - 400K)"
"Nintendo",2013,240000,"gaming","hacked","SSN/Personal Details","[1025 - 400K)"
"Apple",2013,275000,"tech","hacked","Email/Online info","[1025 - 400K)"
"Scribd",2013,5e+05,"web","hacked","Email/Online info","[400K - 2,5M)"
"Drupal",2013,1e+06,"web","hacked","Email/Online info","[400K - 2,5M)"
"Ubuntu",2013,2e+06,"tech","hacked","Credit Card info","[400K - 2,5M)"
"ssndob.ms",2013,4e+06,"web","hacked","SSN/Personal Details","[2,5M - 14M)"
"SnapChat",2013,4700000,"web","hacked","SSN/Personal Details","[2,5M - 14M)"
"SnapChat",2013,4700000,"tech","hacked","SSN/Personal Details","[2,5M - 14M)"
"Yahoo Japan",2013,2.2e+07,"tech","hacked","Email/Online info","[14M - 2200M]"
"Yahoo Japan",2013,2.2e+07,"web","hacked","Email/Online info","[14M - 2200M]"
"Adobe",2013,3.6e+07,"tech","hacked","Full bank account details","[14M - 2200M]"
"Evernote",2013,5e+07,"web","hacked","Email/Online info","[14M - 2200M]"
"Living Social",2013,5e+07,"web","hacked","Email/Online info","[14M - 2200M]"
"Yahoo",2013,1e+09,"web","hacked","SSN/Personal Details","[14M - 2200M]"
"Tumblr",2013,6.5e+07,"web","hacked","Email/Online info","[14M - 2200M]"
